pollster,median_date,spread,n,pop,mode,candidate,total,white,black,latino,men,women,college,no_college,age_1829,age_3044,age_4564,age_65,inc_0_50,inc_50_100,inc_100,inc_50
Morning Consult,2019-12-26,7,17000,LV,Internet,Yang,4,4,4,6,,,,,8,6,2,0,,,,
YouGov,2019-12-30,4,548,LV,Internet,Biden,29,20,52,39,21,35,,,16,23,29,43,31,29,25,28
YouGov,2019-12-30,4,548,LV,Internet,Bloomberg,3,2,5,4,4,3,,,4,3,4,2,3,2,5,3
YouGov,2019-12-30,4,548,LV,Internet,Booker,2,2,4,0,2,2,,,0,2,2,2,2,4,1,3
YouGov,2019-12-30,4,548,LV,Internet,Buttigieg,8,10,4,4,8,8,,,1,10,11,6,7,8,9,8
YouGov,2019-12-30,4,548,LV,Internet,Klobuchar,4,5,0,2,5,2,,,2,2,4,5,2,5,5,5
YouGov,2019-12-30,4,548,LV,Internet,Sanders,19,22,10,23,21,18,,,38,25,12,10,24,17,12,15
YouGov,2019-12-30,4,548,LV,Internet,Steyer,2,2,2,0,1,2,,,0,2,2,2,2,1,2,1
YouGov,2019-12-30,4,548,LV,Internet,Warren,18,20,15,14,20,16,,,21,17,22,11,12,19,24,21
YouGov,2019-12-30,4,548,LV,Internet,Yang,3,3,2,5,4,2,,,5,6,1,1,4,2,2,2
Morning Consult,2020-01-02,7,17213,LV,Internet,Biden,31,28,42,24,,,,,19,25,35,39,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Bloomberg,7,7,6,5,,,,,4,5,8,9,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Booker,2,2,4,2,,,,,3,3,2,2,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Buttigieg,8,10,1,4,,,,,5,6,10,12,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Klobuchar,3,3,1,1,,,,,2,2,3,4,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Sanders,23,22,23,36,,,,,39,30,16,10,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Steyer,4,4,3,4,,,,,1,2,4,5,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Warren,14,15,11,11,,,,,14,15,14,12,,,,
Morning Consult,2020-01-02,7,17213,LV,Internet,Yang,4,4,4,6,,,,,7,6,2,0,,,,
YouGov,2020-01-06,3,578,LV,Internet,Biden,27,20,51,28,24,29,,,11,21,34,38,30,24,22,23
YouGov,2020-01-06,3,578,LV,Internet,Bloomberg,3,4,0,6,3,4,,,2,0,5,7,3,2,4,3
YouGov,2020-01-06,3,578,LV,Internet,Booker,1,1,1,3,2,1,,,2,2,2,0,2,2,1,3
YouGov,2020-01-06,3,578,LV,Internet,Buttigieg,7,8,2,7,6,8,,,5,8,8,5,4,9,10,8
YouGov,2020-01-06,3,578,LV,Internet,Klobuchar,3,4,0,3,2,4,,,0,1,4,8,2,5,4,5
YouGov,2020-01-06,3,578,LV,Internet,Sanders,20,17,15,31,23,17,,,29,29,14,8,26,19,10,15
YouGov,2020-01-06,3,578,LV,Internet,Steyer,2,2,0,1,2,2,,,0,2,2,3,2,3,1,1
YouGov,2020-01-06,3,578,LV,Internet,Warren,22,28,9,14,23,21,,,31,24,19,14,18,23,34,21
YouGov,2020-01-06,3,578,LV,Internet,Yang,3,4,3,2,4,3,,,7,5,1,2,2,4,5,2
Morning Consult,2020-01-09,7,17096,RV,Internet,Biden,29,26,41,23,,,,,19,25,33,37,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Bloomberg,8,9,6,8,,,,,4,7,10,11,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Buttigieg,8,10,1,5,,,,,5,6,9,11,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Klobuchar,3,3,1,2,,,,,1,2,3,4,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Sanders,23,21,26,33,,,,,40,30,18,12,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Steyer,4,4,3,3,,,,,1,2,4,5,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Warren,14,16,10,11,,,,,14,15,14,13,,,,
Morning Consult,2020-01-09,7,17096,RV,Internet,Yang,5,4,4,8,,,,,9,6,2,0,,,,
Quinnipiac University,2020-01-10,5,651,RV,Live,Biden,25,22,33,,24,26,26,25,12,25,29,37,23,28,25,27
Quinnipiac University,2020-01-10,5,651,RV,Live,Bloomberg,6,5,8,,5,7,6,6,4,5,8,9,8,1,7,3
Quinnipiac University,2020-01-10,5,651,RV,Live,Booker,1,1,3,,0,2,0,2,2,2,1,0,3,1,1,1
Quinnipiac University,2020-01-10,5,651,RV,Live,Buttigieg,8,11,2,,9,8,12,6,10,4,10,7,5,8,10,9
Quinnipiac University,2020-01-10,5,651,RV,Live,Klobuchar,4,6,0,,2,4,2,5,1,2,5,6,4,2,4,3
Quinnipiac University,2020-01-10,5,651,RV,Live,Sanders,19,15,24,,24,15,18,20,39,19,9,7,18,23,20,22
Quinnipiac University,2020-01-10,5,651,RV,Live,Steyer,1,2,1,,1,1,1,2,0,0,2,2,2,2,0,1
Quinnipiac University,2020-01-10,5,651,RV,Live,Warren,16,19,8,,12,18,21,9,18,20,14,11,14,19,14,17
Quinnipiac University,2020-01-10,5,651,RV,Live,Yang,5,5,5,,6,5,3,9,12,7,2,0,5,2,9,4
YouGov,2020-01-13,4,521,LV,Internet,Biden,27,20,51,25,28,27,,,11,17,35,40,25,26,31,28
YouGov,2020-01-13,4,521,LV,Internet,Bloomberg,5,5,7,8,6,5,,,3,5,7,5,5,6,5,6
YouGov,2020-01-13,4,521,LV,Internet,Buttigieg,7,8,3,6,7,7,,,6,5,10,7,7,7,6,7
YouGov,2020-01-13,4,521,LV,Internet,Klobuchar,3,5,0,1,3,3,,,4,0,3,5,2,3,4,3
YouGov,2020-01-13,4,521,LV,Internet,Sanders,20,21,9,31,21,20,,,39,27,14,8,24,17,17,17
YouGov,2020-01-13,4,521,LV,Internet,Steyer,1,1,2,0,1,1,,,0,0,2,2,2,1,0,1
YouGov,2020-01-13,4,521,LV,Internet,Warren,19,21,16,15,17,21,,,18,30,15,17,18,22,20,21
YouGov,2020-01-13,4,521,LV,Internet,Yang,3,4,4,2,5,2,,,6,5,3,1,4,5,1,4
Pew Research,2020-01-13,14,5861,RV,Live,Biden,26,24,36,22,26,26,23,26,9,19,34,39,25,,,
Pew Research,2020-01-13,14,5861,RV,Live,Bloomberg,5,6,5,5,5,5,6,5,2,3,6,8,5,,,
Pew Research,2020-01-13,14,5861,RV,Live,Buttigieg,7,3,2,5,7,7,10,4,3,6,8,8,7,,,
Pew Research,2020-01-13,14,5861,RV,Live,Klobuchar,2,4,0,0,2,3,4,0,0,2,3,5,2,,,
Pew Research,2020-01-13,14,5861,RV,Live,Sanders,21,21,13,30,24,19,19,23,40,25,13,10,24,,,
Pew Research,2020-01-13,14,5861,RV,Live,Steyer,1,1,0,1,1,1,1,1,0,1,1,1,2,,,
Pew Research,2020-01-13,14,5861,RV,Live,Warren,16,19,9,11,15,16,23,11,17,19,14,13,18,,,
Pew Research,2020-01-13,14,5861,RV,Live,Yang,3,3,2,5,5,2,3,4,10,4,1,0,4,,,
SurveyUSA,2020-01-15,3,1086,LV,IVR,Biden,32,27,50,31,30,34,30,35,23,30,48,37,35,30,30,30
SurveyUSA,2020-01-15,3,1086,LV,IVR,Bloomberg,9,10,7,8,9,8,9,8,7,9,6,12,5,11,10,11
SurveyUSA,2020-01-15,3,1086,LV,IVR,Buttigieg,9,12,5,8,12,7,10,9,6,9,10,12,9,9,10,9
SurveyUSA,2020-01-15,3,1086,LV,IVR,Klobuchar,2,4,0,1,2,3,3,2,1,1,2,6,3,2,3,2
SurveyUSA,2020-01-15,3,1086,LV,IVR,Sanders,21,19,18,30,23,19,16,25,35,22,11,8,24,20,15,18
SurveyUSA,2020-01-15,3,1086,LV,IVR,Steyer,3,2,3,4,2,4,3,3,1,4,5,2,2,4,3,4
SurveyUSA,2020-01-15,3,1086,LV,IVR,Warren,14,17,9,10,11,17,18,11,16,16,13,13,14,15,14,15
SurveyUSA,2020-01-15,3,1086,LV,IVR,Yang,4,3,7,5,5,3,4,4,8,6,1,2,5,2,5,3
SSRS,2020-01-18,4,500,RV,Live,Biden,24,22,32,17,25,23,19,27,11,18,32,37,24,,,23
SSRS,2020-01-18,4,500,RV,Live,Bloomberg,5,6,6,4,4,6,5,5,2,3,5,11,6,,,5
SSRS,2020-01-18,4,500,RV,Live,Buttigieg,11,18,2,7,7,14,17,7,9,15,14,8,8,,,14
SSRS,2020-01-18,4,500,RV,Live,Klobuchar,4,6,1,0,3,4,6,2,0,2,7,7,2,,,5
SSRS,2020-01-18,4,500,RV,Live,Sanders,27,24,27,36,31,24,23,29,44,34,19,5,32,,,24
SSRS,2020-01-18,4,500,RV,Live,Steyer,2,3,0,0,1,2,1,2,0,0,4,3,2,,,1
SSRS,2020-01-18,4,500,RV,Live,Warren,14,13,17,14,14,15,21,10,17,19,13,9,10,,,18
SSRS,2020-01-18,4,500,RV,Live,Yang,4,3,5,6,6,3,2,6,7,7,1,3,5,,,4
Monmouth University,2020-01-18,5,372,RV,Live,Biden,30,27,39,24,32,28,23,34,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Bloomberg,9,9,8,8,13,7,8,10,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Buttigieg,6,10,1,1,5,7,10,3,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Klobuchar,5,7,3,4,4,6,8,4,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Sanders,23,20,22,34,24,22,18,26,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Steyer,1,2,0,1,2,1,1,2,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Warren,14,17,12,9,7,18,24,7,,,,,,,,
Monmouth University,2020-01-18,5,372,RV,Live,Yang,3,3,2,2,1,4,3,2,,,,,,,,
Fox News,2020-01-21,4,495,LV,Live,Biden,26,24,34,24,31,23,25,27,,,,,26,,,25
Fox News,2020-01-21,4,495,LV,Live,Bloomberg,10,10,10,10,10,9,13,6,,,,,8,,,11
Fox News,2020-01-21,4,495,LV,Live,Buttigieg,7,9,3,5,7,7,7,7,,,,,7,,,8
Fox News,2020-01-21,4,495,LV,Live,Klobuchar,3,5,0,0,4,3,5,0,,,,,1,,,5
Fox News,2020-01-21,4,495,LV,Live,Sanders,23,21,24,33,23,24,20,25,,,,,29,,,20
Fox News,2020-01-21,4,495,LV,Live,Steyer,3,3,3,3,4,3,1,4,,,,,3,,,3
Fox News,2020-01-21,4,495,LV,Live,Warren,14,17,10,12,11,17,14,15,,,,,13,,,16
Fox News,2020-01-21,4,495,LV,Live,Yang,5,4,6,7,5,4,5,4,,,,,4,,,6
USC Dornsife,2020-01-22,14,2227,LV,Internet,Biden,34,30,53,28,34,33,27,39,13,30,39,43,,,,
USC Dornsife,2020-01-22,14,2227,LV,Internet,Bloomberg,9,10,4,11,9,9,11,7,4,7,10,9,,,,
USC Dornsife,2020-01-22,14,2227,LV,Internet,Buttigieg,9,13,3,5,10,8,12,7,8,8,9,12,,,,
USC Dornsife,2020-01-22,14,2227,LV,Internet,Klobuchar,3,5,0,2,3,3,5,2,0,2,3,5,,,,
USC Dornsife,2020-01-22,14,2227,LV,Internet,Sanders,18,14,19,29,18,19,14,21,37,25,14,6,,,,
USC Dornsife,2020-01-22,14,2227,LV,Internet,Warren,16,17,10,14,13,18,22,11,25,21,13,10,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Biden,29,26,42,23,,,,,19,25,33,39,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Bloomberg,12,13,10,12,,,,,6,10,14,18,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Buttigieg,7,9,2,4,,,,,4,6,8,11,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Klobuchar,3,4,1,2,,,,,1,1,4,6,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Sanders,23,22,25,36,,,,,43,33,18,6,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Steyer,3,3,3,3,,,,,3,3,3,4,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Warren,14,15,11,12,,,,,13,15,14,14,,,,
Morning Consult,2020-01-23,7,17836,RV,Internet,Yang,5,4,5,5,,,,,8,5,3,2,,,,
Quinnipiac University,2020-01-25,6,827,RV,Live,Biden,26,21,49,,26,25,26,25,3,25,36,36,30,24,24,24
Quinnipiac University,2020-01-25,6,827,RV,Live,Bloomberg,8,10,7,,7,8,7,9,2,8,4,14,5,4,13,7
Quinnipiac University,2020-01-25,6,827,RV,Live,Buttigieg,6,9,0,,7,5,5,7,4,7,5,7,3,8,9,8
Quinnipiac University,2020-01-25,6,827,RV,Live,Klobuchar,7,9,2,,6,7,11,1,0,5,10,10,4,7,8,7
Quinnipiac University,2020-01-25,6,827,RV,Live,Sanders,21,18,17,,26,17,19,23,53,16,11,7,28,22,14,19
Quinnipiac University,2020-01-25,6,827,RV,Live,Steyer,2,3,1,,1,2,1,4,1,3,3,1,2,2,1,2
Quinnipiac University,2020-01-25,6,827,RV,Live,Warren,15,16,7,,12,18,17,13,23,19,12,9,12,20,17,19
Quinnipiac University,2020-01-25,6,827,RV,Live,Yang,3,3,4,,3,3,3,3,4,5,2,0,4,2,4,3
YouGov,2020-01-27,3,591,LV,Internet,Biden,26,20,46,32,21,29,,,10,21,30,36,31,17,27,20
YouGov,2020-01-27,3,591,LV,Internet,Bloomberg,4,5,3,1,3,6,,,1,0,6,10,2,5,4,5
YouGov,2020-01-27,3,591,LV,Internet,Buttigieg,7,9,1,7,9,6,,,5,7,8,8,5,10,6,9
YouGov,2020-01-27,3,591,LV,Internet,Klobuchar,4,6,1,1,6,3,,,4,0,5,9,2,7,4,6
YouGov,2020-01-27,3,591,LV,Internet,Sanders,24,23,17,30,27,22,,,47,34,17,8,30,21,20,21
YouGov,2020-01-27,3,591,LV,Internet,Steyer,1,1,2,0,1,0,,,0,0,1,2,1,1,1,1
YouGov,2020-01-27,3,591,LV,Internet,Warren,20,22,14,21,17,23,,,23,24,20,13,17,19,28,22
YouGov,2020-01-27,3,591,LV,Internet,Yang,4,4,4,1,6,2,,,6,5,2,2,3,6,2,5
YouGov,2020-02-03,3,616,LV,Internet,Biden,24,19,43,23,23,24,,,14,16,27,34,27,20,22,21
YouGov,2020-02-03,3,616,LV,Internet,Bloomberg,9,7,12,11,9,9,,,7,6,11,10,14,3,7,4
YouGov,2020-02-03,3,616,LV,Internet,Buttigieg,9,10,4,8,10,8,,,5,14,9,8,8,15,5,12
YouGov,2020-02-03,3,616,LV,Internet,Klobuchar,6,8,1,3,5,6,,,3,5,5,9,1,6,12,8
YouGov,2020-02-03,3,616,LV,Internet,Sanders,19,21,8,28,22,16,,,42,26,12,4,20,18,14,17
YouGov,2020-02-03,3,616,LV,Internet,Steyer,2,1,3,4,2,1,,,0,3,2,1,1,2,3,2
YouGov,2020-02-03,3,616,LV,Internet,Warren,18,21,14,12,14,22,,,17,18,21,14,14,22,22,22
YouGov,2020-02-03,3,616,LV,Internet,Yang,3,3,5,2,4,3,,,5,6,2,1,3,2,6,3
Quinnipiac University,2020-02-07,5,665,RV,Live,Biden,17,14,27,,14,19,19,15,6,13,18,27,15,17,17,17
Quinnipiac University,2020-02-07,5,665,RV,Live,Bloomberg,15,15,22,,13,16,16,12,5,13,18,22,11,18,16,17
Quinnipiac University,2020-02-07,5,665,RV,Live,Buttigieg,10,14,4,,10,11,12,8,6,10,16,9,11,9,11,10
Quinnipiac University,2020-02-07,5,665,RV,Live,Klobuchar,4,6,0,,5,4,6,2,2,4,4,6,2,7,4,6
Quinnipiac University,2020-02-07,5,665,RV,Live,Sanders,25,22,19,,32,20,20,33,54,30,11,8,31,26,18,23
Quinnipiac University,2020-02-07,5,665,RV,Live,Steyer,1,1,0,,0,1,1,1,1,0,1,1,1,1,1,1
Quinnipiac University,2020-02-07,5,665,RV,Live,Warren,14,16,8,,10,16,15,11,15,16,15,12,12,14,17,15
Quinnipiac University,2020-02-07,5,665,RV,Live,Yang,2,2,1,,3,2,1,4,5,2,0,1,2,3,2,3
Morning Consult,2020-02-07,6,15346,RV,Internet,Biden,22,19,35,17,21,23,,,14,20,25,29,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Bloomberg,17,17,16,16,17,17,,,9,14,19,23,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Buttigieg,11,14,4,6,11,12,,,5,9,13,16,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Klobuchar,3,4,1,2,3,4,,,1,2,4,6,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Sanders,25,24,27,38,28,23,,,45,33,18,8,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Steyer,3,3,3,3,3,3,,,2,3,4,3,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Warren,11,12,8,11,9,14,,,11,12,12,10,,,,
Morning Consult,2020-02-07,6,15346,RV,Internet,Yang,4,4,4,5,6,3,,,8,5,3,1,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Biden,16,14,,,17,16,11,20,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Bloomberg,11,9,,,14,9,7,13,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Buttigieg,13,17,,,10,15,16,11,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Klobuchar,6,10,,,8,4,8,5,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Sanders,26,25,,,32,22,27,25,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Steyer,1,2,,,0,2,2,1,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Warren,13,16,,,10,16,21,9,,,,,,,,
Monmouth University,2020-02-08,4,372,RV,Live,Yang,4,3,,,8,2,3,5,,,,,,,,
YouGov,2020-02-10,3,552,LV,Internet,Biden,18,13,38,19,15,21,,,7,17,23,22,18,20,14,18
YouGov,2020-02-10,3,552,LV,Internet,Bloomberg,12,10,17,15,13,12,,,5,8,14,18,13,10,11,10
YouGov,2020-02-10,3,552,LV,Internet,Buttigieg,10,13,2,9,8,12,,,10,15,9,10,11,9,13,10
YouGov,2020-02-10,3,552,LV,Internet,Klobuchar,7,10,2,4,5,9,,,1,6,7,12,4,13,9,11
YouGov,2020-02-10,3,552,LV,Internet,Sanders,22,21,19,26,25,19,,,42,26,17,11,26,20,13,17
YouGov,2020-02-10,3,552,LV,Internet,Steyer,1,1,2,4,1,2,,,1,2,2,1,1,2,2,2
YouGov,2020-02-10,3,552,LV,Internet,Warren,15,19,10,8,17,14,,,18,12,16,16,11,16,27,20
Marist College,2020-02-15,4,527,LV,Live,Biden,15,9,31,15,9,18,12,18,,,,,,,,
Marist College,2020-02-15,4,527,LV,Live,Bloomberg,19,18,16,25,15,22,17,22,,,,,,,,
Marist College,2020-02-15,4,527,LV,Live,Buttigieg,8,10,4,9,9,7,8,7,,,,,,,,
Marist College,2020-02-15,4,527,LV,Live,Klobuchar,9,13,3,3,8,9,13,4,,,,,,,,
Marist College,2020-02-15,4,527,LV,Live,Sanders,31,29,28,43,41,24,27,35,,,,,,,,
Marist College,2020-02-15,4,527,LV,Live,Steyer,2,1,3,1,2,1,1,2,,,,,,,,
Marist College,2020-02-15,4,527,LV,Live,Warren,12,15,5,13,12,11,18,4,,,,,,,,
